"MSG_ID","MSG_DTM","MSG_POLARITY","MSG_SUBJECTIVITY","MSG_TOPIC","MSG_TEXT"
1103,01-MAY-24,4,0,"EMUSTANG","People tend to forget that technology improves exponentially rather than in a linear fashion."
1104,01-MAY-24,4,0,"EMUSTANG","Tesla batteries are tested to go 500,000 miles, and likely 1 million miles. Electric motors need no maintenance, so your only scheduled maintenance is tires."
1105,01-MAY-24,2,0,"EMUSTANG","The poor range of just 250 miles doesn't cut it anymore. Tesla Model 3 gets 360 miles, and is $10,000 cheaper, and has much better software."
1106,01-MAY-24,5,0,"TSLA","Tesla also doesn't have outsourced parts and can apply uniform quality standards   "
1107,01-MAY-24,4,0,"TSLA","We've had our non Tesla EVs for three winters now here in Michigan and never had an issue with the cold, beyond the somewhat reduced range that is to be expected. "
1108,01-MAY-24,4,0,"EMUSTANG","Phones have both different lithium chemistry and lack any sort of active thermal management.  EVs have almost all switched to liquid cooled battery packs after early air cooled budget models yielded poor lifespans. You rarely see a phone with an 8 year battery warranty"
1109,01-MAY-24,5,0,"TSLA","We're about to get a VW ID.4. I already knew they're now made in Tennessee, but it's great to see it rank so high!"
1110,01-MAY-24,4,0,"TSLA","If you are going by meme posts on Facebook and half-baked YouTube videos, sure. But if you are going by actual peer-reviewed studies by MIT and others you'd know that the cradle-to-grave and well-to-wheel environmental impact is way better with EVs."
1111,01-MAY-24,4,0,"EMUSTANG","Good facts, thanks. "
1112,01-MAY-24,4,0,"EMUSTANG","People tend to forget that technology improves exponentially rather than in a linear fashion."
1113,01-MAY-24,4,0,"EMUSTANG","Do you get the same iPhone life today that you had when you bought it new? Your range out the door or shortly thereafter will be about 200 miles or less and dropping throughout its lifetime. "
1114,01-MAY-24,4,0,"TSLA","There is a reason they have active heating and cooling for the battery. We've never had an issue in the three Michigan winters we've had our EVs."
1115,01-MAY-24,4,0,"EMUSTANG","Tesla batteries are tested to go 500,000 miles, and likely 1 million miles. Electric motors need no maintenance, so your only scheduled maintenance is tires."
1116,01-MAY-24,5,0,"TSLA","Amazing! I love that every Model that Tesla makes is in the #1, 2, 3, and 4 spots. I've had my Tesla for 4 years and it's been awesome. Look at the rest of the vehicles rounding out # 5 through #10 of the top ten American-Made Index. No GM, no Ford, no other ""American"" brand. It's all Honda, Acura ..."
1117,01-MAY-24,2,0,"EMUSTANG","Tell that to the folks making technology driven products. Have you seen the price of a 50 inch tv these days? It's PEANUTS compared to 10 years ago, and not because people are spending more time outdoors. "
1118,01-MAY-24,2,0,"EMUSTANG","My wife has a 320 mi. range in her Tesla. It's just not enough especially if you want to drive 70+ mph. The fueling infrastructure isn't available either. Govt boondoggle as usual putting the cart before the horse. "
1119,01-MAY-24,4,0,"EMUSTANG","Not even 23 year old Toyota Priuses are having to replace their batteries yet.Tesla batteries are tested to go 500 000 to 1 million miles with an eight year and 150,000 mile warranty. Just the facts sir."
1120,01-MAY-24,4,0,"EMUSTANG","The Detroit automakers have only done this for a year or so, and they are miles behind  Tesla having done this for well over a decade. Battery technology is leaping forward now at a great rate. 1,000 mile batteries are being tested in the lab now."
1121,01-MAY-24,2,0,"EMUSTANG","Nothing triggers conservatives more than EV and Bud Light. "
1122,01-MAY-24,5,0,"TSLA","Teslas average 12% battery degradation after 200,000 miles. Tesla resale value is actually really good. The used prices dropped a LOT in the last year because Tesla dropped the new car prices so that they could be eligible for the tax credits. But the used market should settle."
1123,01-MAY-24,4,0,"EMUSTANG","Do you get the same iPhone life today that you had when you bought it new? Your range out the door or shortly thereafter will be about 200 miles or less and dropping throughout its lifetime. "
1124,01-MAY-24,1,0,"TSLA","How so? Can you provide details about their methodologies that disprove their findings?"
1125,01-MAY-24,5,0,"TSLA","I'm a 60-something year old guy who never thought he'd be driving an EV. I tried a Tesla a few years ago and was quickly hooked. I've driven it all over the mountain west in all possible conditions. Best car I've ever owned. And it's great just charging at home overnight!"
1126,01-MAY-24,5,0,"TSLA","If you own your own home, then literally 99% of your charging is done at home anyway. And in the four years of me owning my Tesla, I never had to wait in line at any supercharger. Does it happen? Yeah, usually on busy holidays. But I've never seen it.And now that GM, Ford, and others have signed on..."
1127,01-MAY-24,1,0,"EMUSTANG","High demand prices go up. Low demand prices go down. Basic law of business. Deal with it."
1128,01-MAY-24,4,0,"EMUSTANG","I drive more than that in a single day maybe 2 or 3 times a year.  If I'm traveling 1000 miles or more I'm taking a plane."
1129,01-MAY-24,4,0,"TSLA","9 of the top 15 are Honda vehicles, 1 Volkswagen and 1 Toyota. The first US automaker, after Tesla, is Chevrolet at 19. Sad that foreign auto makers are more American than American auto makers."
1130,01-MAY-24,4,0,"TSLA","Nope, environmental the break even on an EV made in US on the US grid is only 1 year."
1131,01-MAY-24,4,0,"EMUSTANG","Insurance stats list gas hybrids as the most likely to spontaneous combust. Gas cars second. And EVs the least. The new Iron Phosphate batteries are even safer."
1132,01-MAY-24,4,0,"EMUSTANG","Phones have both different lithium chemistry and lack any sort of active thermal management.  EVs have almost all switched to liquid cooled battery packs after early air cooled budget models yielded poor lifespans. You rarely see a phone with an 8 year battery warranty"
1133,01-MAY-24,4,0,"EMUSTANG","Insurance stats list gas hybrids as the most likely to spontaneous combust. Gas cars second. And EVs the least. The new Iron Phosphate batteries are even safer."
1134,01-MAY-24,4,0,"EMUSTANG","People tend to forget that technology improves exponentially rather than in a linear fashion."
1135,01-MAY-24,3,0,"TSLA","The aerodynamic overload trend is nauseating. "
1136,01-MAY-24,5,0,"TSLA","Read the article on Toyotas bringing new battery technology with over 900 miles of range by 2027 that charges in ten minutes!  Solid state batteries have been around for years but the charging function has been an issue.  Hopefully Lithium Ion is done."
1137,01-MAY-24,4,0,"EMUSTANG","People tend to forget that technology improves exponentially rather than in a linear fashion."
1138,01-MAY-24,1,0,"TSLA","How so? Can you provide details about their methodologies that disprove their findings?"
1139,01-MAY-24,4,0,"EMUSTANG","Because the limits of this technology, all EV's aerodynamically look a lot alike. "
1140,01-MAY-24,4,0,"EMUSTANG","The price change is due in part to a switch from nickel cobalt manganese (NCM) cells to lithium iron phosphate (LFP) cells for the Standard Range battery pack. No, the price is dropping because no one wants to buy it. My car goes 500-600 miles on a tank of gas and after a 5-minute fill up!"
1141,01-MAY-24,4,0,"EMUSTANG","Not even 23 year old Toyota Priuses are having to replace their batteries yet.Tesla batteries are tested to go 500 000 to 1 million miles with an eight year and 150,000 mile warranty. Just the facts sir."
1142,01-MAY-24,4,0,"EMUSTANG","Tesla batteries are tested to go 500,000 miles, and likely 1 million miles. Electric motors need no maintenance, so your only scheduled maintenance is tires."
1143,01-MAY-24,5,0,"TSLA","The reliability rankings are a bit flawed as they go by what one considers as incidents. Tesla unlike other brands includes systems that inspect the car real time for issues and notify you. To Tesla, people going for service makes no difference as they are on payroll and many stuff are fixable"
1144,01-MAY-24,4,0,"TSLA","Not all minerals, impact report shows that some of the lithium is refined in USA and Australia. Nickel has Indonesia and Canada in the refining. And with IRA having domestic mining, processing and manufacturing requirements, less and less will be in China going forward"
1145,01-MAY-24,3,0,"TSLA","The aerodynamic overload trend is nauseating. "
1146,01-MAY-24,4,0,"EMUSTANG","Tesla Superchargers are on most major highways now, but if you own any other vehicle other than Tesla, you will NOT be able to travel easily. My Model Y charges in about 18 minutes on the highway. Easy Peasy. "
1147,01-MAY-24,2,0,"EMUSTANG","My wife has a 320 mi. range in her Tesla. It's just not enough especially if you want to drive 70+ mph. The fueling infrastructure isn't available either. Govt boondoggle as usual putting the cart before the horse. "
1148,01-MAY-24,4,0,"EMUSTANG","Good facts, thanks. "
1149,01-MAY-24,4,0,"EMUSTANG","Most people drive about 10 miles daily. 250 is pretty good. Only problem is cross country trips."
1150,01-MAY-24,4,0,"EMUSTANG","The price change is due in part to a switch from nickel cobalt manganese (NCM) cells to lithium iron phosphate (LFP) cells for the Standard Range battery pack. No, the price is dropping because no one wants to buy it. My car goes 500-600 miles on a tank of gas and after a 5-minute fill up!"
1151,01-MAY-24,3,0,"EMUSTANG","Tesla batteries from 13 years ago stabilize at about 12 % loss total. So, you will want the biggest battery you can afford with at least 300 mile range. "
